time,tx_rate,rx_rate
83.1838858127594,0.0,0.0
83.68536353111267,0.0,0.0
84.18588900566101,0.0,0.0
84.68655681610107,0.0,0.0
85.18718695640564,0.0,0.0
85.68781852722168,0.0,0.0
86.18837141990662,0.0,0.0
86.69278335571289,0.0,0.0
87.19333720207214,0.0,0.0
87.69383096694946,0.0,0.0
88.19447135925293,0.0,0.0
88.6948471069336,0.0,0.0
89.19543242454529,0.0,0.0
89.69576597213745,0.001248,0.0
90.19760060310364,0.0,0.0
90.69950270652771,0.0,0.0
91.2053587436676,0.0,0.0
91.70633602142334,0.0,0.0
92.2460458278656,0.0,0.0
92.75549030303955,0.0,0.0
93.25787329673767,0.0,0.0
93.75864958763123,0.0,0.0
94.26002597808838,0.0,0.0
94.76059103012085,0.0,0.0
95.26260018348694,0.0,0.0
